classification,mint_count,mint_value_usdt,median_displacement,median_range_width,mint_count_share,mint_value_share
Above,148,19972114.957624942,0.12609975926614175,0.17699115058993625,0.02363084783650008,0.046268111997775425
Around,5791,382559392.09378475,-0.005310681535832044,0.13799310045995009,0.9246367555484593,0.8862506968716654
Below,324,29128962.66011,-0.0999044823016919,0.16799160055993956,0.05173239661504071,0.06748119113055914
