definition,group,n_days,n_valid_next_day_return,mean_next_day_return,median_next_day_return,positive_next_day_share,mean_lp_imbalance,min_lp_imbalance,max_lp_imbalance,mean_same_day_return
Sign of LP imbalance,More value below,35,35,0.008298827838335899,0.005745688567333029,0.6,-0.15301151753920897,-0.8042391712610998,-0.00032454727167986763,0.00702185048123624
Sign of LP imbalance,No directional imbalance,3,3,0.013596732486334319,0.0009779001191523354,0.6666666666666666,0.0,0.0,0.0,0.0007057097217321105
Sign of LP imbalance,More value above,22,21,-0.0035358308108732577,-0.0007641170126905468,0.47619047619047616,0.13703561625218796,2.375899036890706e-06,0.5714422160461637,0.0004340394649503003
Equal-frequency imbalance group,Below-tilted,20,20,-0.004254265119362309,-0.0043244527837406335,0.45,-0.25569129007996116,-0.8042391712610998,-0.046714030998672475,0.003495493105409894
Equal-frequency imbalance group,Middle,20,20,0.019931314998687888,0.007313281100349445,0.75,-0.012077554238470557,-0.0401005566741095,2.3851604641515312e-05,0.009717992010233151
Equal-frequency imbalance group,Above-tilted,20,19,-0.002976014358636345,-0.0007641170126905468,0.47368421052631576,0.15073786650222284,0.00041718736930759,0.5714422160461637,-0.00038278829160209567
