group,mean_selected_width,n_days,n_valid_next_day_high_low_range,mean_next_day_high_low_range,median_next_day_high_low_range
Narrow,0.05537984570602568,20,19,0.028583191983371174,0.01685808196890255
Middle,0.150721808922083,20,20,0.035209525279691165,0.03114331617903083
Wide,0.7823424955485734,20,20,0.03073303778607822,0.026241138745012563
